"SKU","모델SKU","현재 제품DB 미입고","계산상 정상 미입고","관련 발주번호","발주수량","실제 입고수량","입고예정일","실제 입고일","차이","예상 원인","자동 수정 가능"
"45476097","wn012062RG","0","24","139947012, 139947078","24","0","2026-08-28","","24","기존 _입고요약 열 위치 오해 또는 발주별 실입고 누계 미사용","가능"
"36775763","wb011534RG","0","20","139948621, 139948902","20","0","2026-08-28","","20","기존 _입고요약 열 위치 오해 또는 발주별 실입고 누계 미사용","가능"
"38249450","ws011627RG","20","0","135170426, 135170427","20","20","2026-07-02","","-20","기존 _입고요약 열 위치 오해 또는 발주별 실입고 누계 미사용","가능"
"39135917","wb011231RG","0","16","139948005","16","0","2026-08-28","","16","기존 _입고요약 열 위치 오해 또는 발주별 실입고 누계 미사용","가능"
"41735372","mn011240","13","0","137156799","13","13","2026-07-24","2026/07/27 1:40:49","-13","기존 _입고요약 열 위치 오해 또는 발주별 실입고 누계 미사용","가능"
"36786784","wa011474SS","12","0","135170426, 137256802","12","12","2026-07-02, 2026-07-28","2026/07/29 14:20:56","-12","기존 _입고요약 열 위치 오해 또는 발주별 실입고 누계 미사용","가능"
"38098996","we00183RD","0","12","139943029","12","0","2026-08-28","","12","기존 _입고요약 열 위치 오해 또는 발주별 실입고 누계 미사용","가능"
"37880253","mb0007S","10","0","135170427","10","10","2026-07-02","","-10","기존 _입고요약 열 위치 오해 또는 발주별 실입고 누계 미사용","가능"
"38256625","wn011629RB","0","10","139948298","10","0","2026-08-28","","10","기존 _입고요약 열 위치 오해 또는 발주별 실입고 누계 미사용","가능"
"38293844","we00089RG","0","10","139947262","10","0","2026-08-28","","10","기존 _입고요약 열 위치 오해 또는 발주별 실입고 누계 미사용","가능"
"39169551","mn011541SS","0","10","139942128","10","0","2026-08-28","","10","기존 _입고요약 열 위치 오해 또는 발주별 실입고 누계 미사용","가능"
"38448723","wp011601GO","0","9","139943141","9","0","2026-08-28","","9","기존 _입고요약 열 위치 오해 또는 발주별 실입고 누계 미사용","가능"
"39606799","wa011146RG","18","9","136008833, 137156487, 139142652","18","9","2026-07-10, 2026-07-24, 2026-08-14","2026/07/24 22:26:57","-9","기존 _입고요약 열 위치 오해 또는 발주별 실입고 누계 미사용","가능"
"38256641","mp011412BK","0","8","139940943","8","0","2026-08-28","","8","기존 _입고요약 열 위치 오해 또는 발주별 실입고 누계 미사용","가능"
"39138705","mn011456SI","16","8","136008517, 136619665, 138257431","16","8","2026-07-10, 2026-07-24, 2026-08-05","2026/07/24 22:26:57","-8","기존 _입고요약 열 위치 오해 또는 발주별 실입고 누계 미사용","가능"
