SKU,모델SKU,제품DB행,변경전 미입고,변경후 미입고,차이,관련발주번호,발주수량,누적입고,수정일시,성공/실패,실패이유
78490771,wa0004-GOWH,9,0,1,1,139996964,139996964:1,139996964:0,2026-08-24 01:44:39 +09:00,성공,
78490769,wa0004-RGBK,10,0,1,1,139998851,139998851:1,139998851:0,2026-08-24 01:44:39 +09:00,성공,
78490768,wa0004-RGWH,11,0,1,1,139998851,139998851:1,139998851:0,2026-08-24 01:44:39 +09:00,성공,
78490770,wa0004-SIWH,12,0,1,1,139998851,139998851:1,139998851:0,2026-08-24 01:44:39 +09:00,성공,
78467787,wa0003-SI,13,0,1,1,139998851,139998851:1,139998851:0,2026-08-24 01:44:39 +09:00,성공,
78453239,wn0001-GO,14,0,1,1,139997482,139997482:1,139997482:0,2026-08-24 01:44:39 +09:00,성공,
78453238,wn0001-RG,15,0,1,1,139997482,139997482:1,139997482:0,2026-08-24 01:44:39 +09:00,성공,
78453506,wa0002-GO,16,0,1,1,139998851,139998851:1,139998851:0,2026-08-24 01:44:39 +09:00,성공,
78453505,wa0002-RG,17,0,1,1,139999282,139999282:1,139999282:0,2026-08-24 01:44:39 +09:00,성공,
78453507,wa0002-SI,18,0,1,1,139998851,139998851:1,139998851:0,2026-08-24 01:44:39 +09:00,성공,
78491001,wa0001-GO,19,0,1,1,139998851,139998851:1,139998851:0,2026-08-24 01:44:39 +09:00,성공,
78491000,wa0001-RG,20,0,1,1,139997482,139997482:1,139997482:0,2026-08-24 01:44:39 +09:00,성공,
78491002,wa0001-SI,21,0,1,1,139998851,139998851:1,139998851:0,2026-08-24 01:44:39 +09:00,성공,
78489972,up0002-BK,22,0,1,1,139998851,139998851:1,139998851:0,2026-08-24 01:44:39 +09:00,성공,
78489969,up0002-GO,23,0,1,1,139997482,139997482:1,139997482:0,2026-08-24 01:44:39 +09:00,성공,
78489968,up0002-RG,24,0,1,1,139997482,139997482:1,139997482:0,2026-08-24 01:44:39 +09:00,성공,
78489970,up0002-SI,25,0,1,1,139998851,139998851:1,139998851:0,2026-08-24 01:44:39 +09:00,성공,
78390502,we0001-GO,26,0,1,1,139849369,139849369:1,139849369:0,2026-08-24 01:44:39 +09:00,성공,
78390501,we0001-RG,27,0,1,1,139849369,139849369:1,139849369:0,2026-08-24 01:44:39 +09:00,성공,
78390503,we0001-SI,28,0,1,1,139849105,139849105:1,139849105:0,2026-08-24 01:44:39 +09:00,성공,
78490915,mr0007-SI20,29,0,1,1,139996964,139996964:1,139996964:0,2026-08-24 01:44:39 +09:00,성공,
78490916,mr0007-SI22,30,0,1,1,139997482,139997482:1,139997482:0,2026-08-24 01:44:39 +09:00,성공,
78490917,mr0007-SI25,31,0,1,1,139997482,139997482:1,139997482:0,2026-08-24 01:44:39 +09:00,성공,
78483451,mr0004-SI20,32,0,1,1,139998851,139998851:1,139998851:0,2026-08-24 01:44:39 +09:00,성공,
78483452,mr0004-SI22,33,0,1,1,139997482,139997482:1,139997482:0,2026-08-24 01:44:39 +09:00,성공,
78483453,mr0004-SI25,34,0,1,1,139998551,139998551:1,139998551:0,2026-08-24 01:44:39 +09:00,성공,
78489963,up0001-BK,35,0,1,1,139997482,139997482:1,139997482:0,2026-08-24 01:44:39 +09:00,성공,
78489966,up0001-GO,36,0,1,1,139996964,139996964:1,139996964:0,2026-08-24 01:44:39 +09:00,성공,
78489964,up0001-RG,37,0,1,1,139998851,139998851:1,139998851:0,2026-08-24 01:44:39 +09:00,성공,
78489967,up0001-SI,38,0,1,1,139997482,139997482:1,139997482:0,2026-08-24 01:44:39 +09:00,성공,
